models,accuracy,precision,recall,f1-score,num_params,mult-adds
1.0-MobileNetV1,0.9741379022598261,0.973509907722473,0.9483870863914491,0.961391627788543,3.242883,575.3413775
0.75-MobileNetV1,0.9633620977401731,0.9539473652839661,0.9354838728904721,0.9157055020332331,1.843491,330.35121749999996
0.5-MobileNetV1,0.9568965435028071,0.9530201554298401,0.9161290526390071,0.929983854293823,0.8365469999999999,152.79760149999998
0.25-MobileNetV1,0.967672407627105,0.960526287555694,0.94193547964096,0.9359438419342041,0.222051,42.6805295
1.0-MobileNetV2,0.9504310488700861,0.9177215099334711,0.9354838728904721,0.9346065521240231,2.280067,323.0450735
0.75-MobileNetV2,0.941810369491577,0.938356161117553,0.883870959281921,0.8884775042533871,1.311483,189.63663749999998
0.5-MobileNetV2,0.92887932062149,0.984126985073089,0.8000000119209291,0.8493515253067011,0.608611,91.3263135
0.25-MobileNetV2,0.915948271751403,0.939393937587738,0.8000000119209291,0.823244035243988,0.171451,28.1141015
1.0-SE-MobileNetV1,0.9762930870056151,0.973684191703796,0.954838693141937,0.9547950029373161,3.701635,576.5025935
0.75-SE-MobileNetV1,0.978448271751403,0.980132460594177,0.954838693141937,0.9685723781585691,2.101539,331.13611349999996
0.5-SE-MobileNetV1,0.9741379022598261,0.9931034445762631,0.929032266139984,0.961629807949066,0.9512349999999999,153.2635215
0.25-SE-MobileNetV1,0.9633620977401731,0.9312499761581421,0.9612902998924251,0.9268417358398431,0.250723,42.8848175
1.0-SE-MobileNetV2,0.9612069129943841,0.9254658222198481,0.9612902998924251,0.9362054467201231,2.779235,444.53547349999997
0.75-SE-MobileNetV2,0.9461206793785091,0.9391891956329341,0.8967741727828981,0.90317815542221,1.592835,262.5994935
0.5-SE-MobileNetV2,0.9633620977401731,0.9312499761581421,0.9612902998924251,0.9372832775115961,0.734163,127.8649215
0.25-SE-MobileNetV2,0.915948271751403,0.8295454382896421,0.94193547964096,0.8665212392807,0.20321899999999998,40.331757499999995
